data,hora,abertura,maximo,minimo,fechamento_atual,negocios,quantidade_papeis,<SPREAD>
2013/10/21,15:30:00,54695,55120,54690,54925,72860,18395,5
2013/10/21,15:45:00,54925,54995,54800,54920,30490,7696,5
2013/10/21,16:00:00,54920,54990,54825,54965,26010,7007,5
2013/10/21,16:15:00,54970,55075,54940,54985,23290,5938,5
2013/10/21,16:30:00,54985,55145,54900,55130,27600,7129,5
2013/10/21,16:45:00,55140,55145,54980,55065,21310,5594,5
2013/10/21,17:00:00,55070,55120,55035,55105,17590,3772,5
2013/10/21,17:15:00,55100,55170,55060,55125,10350,2617,5
2013/10/21,17:30:00,55120,55125,55025,55070,10990,3042,5
2013/10/21,17:45:00,55065,55070,54985,55045,8290,2665,5
2013/10/22,09:00:00,55090,55150,54950,55070,13520,3715,5
2013/10/22,09:15:00,55060,55075,54980,55005,4790,1338,5
2013/10/22,09:30:00,55005,55075,55000,55060,6350,1944,5
2013/10/22,09:45:00,55050,55075,55005,55065,6540,1770,5
2013/10/22,10:00:00,55065,55180,54960,54970,25200,6951,5
2013/10/22,10:15:00,54960,55125,54850,55100,30960,8226,5
2013/10/22,10:30:00,55060,55470,54885,55420,60040,14988,5
2013/10/22,10:45:00,55415,55520,55280,55350,28780,7409,5
2013/10/22,11:00:00,55355,55485,55340,55435,30120,7789,5
2013/10/22,11:15:00,55430,55600,55400,55525,26600,6699,5
2013/10/22,11:30:00,55525,55595,55400,55555,28470,7494,5
2013/10/22,11:45:00,55550,55825,55540,55750,37320,10259,5
2013/10/22,12:00:00,55755,55940,55720,55720,32090,8653,5
2013/10/22,12:15:00,55725,55900,55680,55700,23220,6032,5
2013/10/22,12:30:00,55700,55790,55645,55690,19050,5079,5
2013/10/22,12:45:00,55700,55730,55530,55555,25470,6838,5
2013/10/22,13:00:00,55560,55730,55485,55530,24980,6542,5
2013/10/22,13:15:00,55535,55675,55515,55630,15370,3407,5
2013/10/22,13:30:00,55630,55745,55580,55690,17450,4506,5
2013/10/22,13:45:00,55700,55730,55610,55710,13100,3310,5
2013/10/22,14:00:00,55715,55830,55670,55790,19750,5620,5
2013/10/22,14:15:00,55795,55860,55740,55830,14100,3954,5
2013/10/22,14:30:00,55825,55875,55740,55800,21980,5951,5
2013/10/22,14:45:00,55800,56005,55765,55980,27290,7142,5
2013/10/22,15:00:00,55985,56000,55790,55800,27020,7123,5
2013/10/22,15:15:00,55805,55860,55655,55680,25860,6755,5
2013/10/22,15:30:00,55675,55770,55580,55715,26440,6838,5
2013/10/22,15:45:00,55715,55795,55630,55770,21490,5006,5
2013/10/22,16:00:00,55765,55910,55720,55860,24930,6665,5
2013/10/22,16:15:00,55860,55905,55680,55725,26180,6570,5
2013/10/22,16:30:00,55715,55950,55705,55915,22830,6440,5
2013/10/22,16:45:00,55910,55955,55815,55845,18930,4698,5
2013/10/22,17:00:00,55845,55845,55780,55835,17970,4236,5
2013/10/22,17:15:00,55835,55880,55785,55865,12100,3449,5
2013/10/22,17:30:00,55865,55885,55850,55880,4530,1130,5
2013/10/22,17:45:00,55875,55900,55835,55850,7570,2433,5
2013/10/23,09:00:00,55580,55600,55425,55500,14970,4146,5
2013/10/23,09:15:00,55500,55510,55435,55470,4670,1292,5
2013/10/23,09:30:00,55465,55470,55360,55365,12220,2970,5
2013/10/23,09:45:00,55370,55470,55365,55435,7790,1841,5
2013/10/23,10:00:00,55430,55465,55320,55450,23150,5761,5
2013/10/23,10:15:00,55445,55465,55385,55420,10220,2320,5
2013/10/23,10:30:00,55420,55540,55400,55485,26630,6742,5
2013/10/23,10:45:00,55480,55560,55455,55525,13880,3547,5
2013/10/23,11:00:00,55545,55550,55435,55490,16430,4395,5
2013/10/23,11:15:00,55490,55535,55340,55415,23910,6178,5
2013/10/23,11:30:00,55415,55425,55225,55255,49250,12761,5
2013/10/23,11:45:00,55260,55280,55175,55215,25410,6543,5
2013/10/23,12:00:00,55205,55315,55150,55310,27010,6666,5
2013/10/23,12:15:00,55310,55330,55200,55250,21740,5469,5
2013/10/23,12:30:00,55255,55295,55110,55155,27810,7933,5
2013/10/23,12:45:00,55150,55190,55025,55045,24810,6461,5
2013/10/23,13:00:00,55040,55080,54960,55010,25440,6748,5
2013/10/23,13:15:00,55010,55130,55005,55060,16930,4191,5
2013/10/23,13:30:00,55070,55125,55010,55075,12590,3139,5
2013/10/23,13:45:00,55080,55110,55005,55060,11700,2906,5
2013/10/23,14:00:00,55065,55165,55060,55100,14270,3576,5
2013/10/23,14:15:00,55095,55135,54895,54955,27670,6889,5
2013/10/23,14:30:00,54945,55015,54940,54990,13980,3627,5
2013/10/23,14:45:00,54990,55110,54965,55035,17380,4517,5
2013/10/23,15:00:00,55035,55075,54970,55055,13230,3146,5
2013/10/23,15:15:00,55060,55070,54860,54910,24090,6587,5
2013/10/23,15:30:00,54910,54980,54875,54950,14700,3695,5
2013/10/23,15:45:00,54950,54990,54890,54895,12540,3169,5
2013/10/23,16:00:00,54895,54910,54805,54860,25450,6949,5
2013/10/23,16:15:00,54865,54890,54725,54755,29710,8194,5
2013/10/23,16:30:00,54755,54795,54635,54735,30110,8239,5
2013/10/23,16:45:00,54735,54745,54605,54625,18110,4816,5
2013/10/23,17:00:00,54630,54640,54580,54600,16660,4450,5
2013/10/23,17:15:00,54600,54600,54455,54465,16070,4342,5
2013/10/23,17:30:00,54470,54550,54460,54530,11890,3377,5
2013/10/23,17:45:00,54530,54615,54530,54615,11600,4016,5
2013/10/24,09:00:00,54820,54995,54750,54955,14660,4669,5
2013/10/24,09:15:00,54955,55000,54930,54945,7840,2352,5
2013/10/24,09:30:00,54945,54985,54900,54950,7690,1976,5
2013/10/24,09:45:00,54950,55060,54940,55000,13690,3685,5
2013/10/24,10:00:00,54995,55020,54855,54940,20940,5614,5
2013/10/24,10:15:00,54940,54980,54905,54965,9340,2245,5
2013/10/24,10:30:00,54960,55000,54810,54890,26870,6890,5
2013/10/24,10:45:00,54885,54930,54660,54665,38800,7946,5
2013/10/24,11:00:00,54675,54805,54635,54760,21840,5511,5
